X,y
5.000000000000000000e+00,1.307954630056269423e+02
5.066889632107023367e+00,2.010952174190086623e+02
5.133779264214046734e+00,1.711333679339837772e+02
5.200668896321070100e+00,1.585679311418853672e+02
5.267558528428093467e+00,6.788618043850866002e+01
5.334448160535116834e+00,7.980048244387640466e+01
5.401337792642140201e+00,1.786573799480847526e+02
5.468227424749163568e+00,8.051574758607063131e+01
5.535117056856186935e+00,1.604638560663755982e+02
5.602006688963210301e+00,2.391981322379475614e+02
5.668896321070233668e+00,1.764617961685169689e+02
5.735785953177257923e+00,1.542558731186990997e+02
5.802675585284280402e+00,2.086802614913145248e+02
5.869565217391304657e+00,2.065653008326531790e+02
5.936454849498328024e+00,2.320790953193633754e+02
6.003344481605351390e+00,2.293662162654723886e+02
6.070234113712374757e+00,9.565578908944647196e+01
6.137123745819398124e+00,2.612690185172921247e+02
6.204013377926421491e+00,1.813303102907856328e+02
6.270903010033444858e+00,1.139392547813804413e+02
6.337792642140468224e+00,2.576253050046247495e+02
6.404682274247491591e+00,2.033976647698371210e+02
6.471571906354514958e+00,2.209761290719317799e+02
6.538461538461538325e+00,1.738931787443237909e+02
6.605351170568561692e+00,2.048622776908937340e+02
6.672240802675585059e+00,2.801834106711992831e+02
6.739130434782608425e+00,2.854745583800794293e+02
6.806020066889631792e+00,3.636622632149249625e+02
6.872909698996655159e+00,2.136120720516744882e+02
6.939799331103678526e+00,2.175785669683695289e+02
7.006688963210702781e+00,2.326063629322509883e+02
7.073578595317725259e+00,2.964988876629807919e+02
7.140468227424749514e+00,1.136556110390711467e+02
7.207357859531771993e+00,2.644019742678653415e+02
7.274247491638796248e+00,4.087139684370383748e+02
7.341137123745818727e+00,3.272055543183709005e+02
7.408026755852842982e+00,2.388576784725738662e+02
7.474916387959865460e+00,2.764301486160171635e+02
7.541806020066889715e+00,3.918079578116441439e+02
7.608695652173913082e+00,2.572072795427658889e+02
7.675585284280936449e+00,3.057355177672228592e+02
7.742474916387959816e+00,4.091113607987904288e+02
7.809364548494983183e+00,3.059013715057790250e+02
7.876254180602006549e+00,3.153574295897051343e+02
7.943143812709029916e+00,2.991027764011536192e+02
8.010033444816052395e+00,2.884974959922620883e+02
8.076923076923076650e+00,3.181840928889357656e+02
8.143812709030100905e+00,3.186262116986322894e+02
8.210702341137123383e+00,2.602732814729787378e+02
8.277591973244147638e+00,3.377003273508744314e+02
8.344481605351170117e+00,3.783742799181235910e+02
8.411371237458194372e+00,3.693831660450892969e+02
8.478260869565216851e+00,1.829622583238249831e+02
8.545150501672241106e+00,2.334148128069960251e+02
8.612040133779263584e+00,3.445787544888971183e+02
8.678929765886287839e+00,4.976353491592197429e+02
8.745819397993310318e+00,2.945997521939420380e+02
8.812709030100334573e+00,4.362821206703258099e+02
8.879598662207357052e+00,3.426107443352114501e+02
8.946488294314381307e+00,3.494713212982401274e+02
9.013377926421405562e+00,3.604718540636903299e+02
9.080267558528428040e+00,2.805041856013396000e+02
9.147157190635450519e+00,3.904571307662582740e+02
9.214046822742474774e+00,4.041253168602017354e+02
9.280936454849499029e+00,2.361981386779218894e+02
9.347826086956521507e+00,3.203603446621924604e+02
9.414715719063543986e+00,5.260117195990465007e+02
9.481605351170568241e+00,4.607456052893356286e+02
9.548494983277592496e+00,4.172131801191814588e+02
9.615384615384614975e+00,4.129736141116800923e+02
9.682274247491637453e+00,3.889462262443869349e+02
9.749163879598661708e+00,3.957803032535785519e+02
9.816053511705685963e+00,4.187118020686863815e+02
9.882943143812708442e+00,4.387888005578194566e+02
9.949832775919730921e+00,3.887376566975624428e+02
1.001672240802675518e+01,3.972181620878722015e+02
1.008361204013377943e+01,3.830819588799157032e+02
1.015050167224080369e+01,4.902333683291067246e+02
1.021739130434782616e+01,4.031318697523111041e+02
1.028428093645484864e+01,4.037996637048531170e+02
1.035117056856187290e+01,4.959256728874914870e+02
1.041806020066889715e+01,3.250654301863365845e+02
1.048494983277591963e+01,3.795019841628623567e+02
1.055183946488294211e+01,3.584848351650623499e+02
1.061872909698996637e+01,4.281425474323295930e+02
